date,bookings,clicks,booking_rate,weekday,trend_7d,expected,resid_ratio,robust_z,is_anomaly,holiday
2013-01-07,3002.0,31351,0.0873868366663755,Mon,2995.8,3404.5,0.8818,-3.33,False,
2013-01-08,3152.0,32481,0.0884573288805321,Tue,2944.0,3344.2,0.9425,-1.62,False,
2013-01-09,3019.0,31779,0.0867578596471061,Wed,2790.0,3150.0,0.9584,-1.17,False,
2013-01-10,2810.0,29535,0.0868758695316123,Thu,2728.7,2869.1,0.9794,-0.58,False,
2013-01-11,2737.0,27295,0.0911361214704315,Fri,2746.4,2688.0,1.0182,0.51,False,
2013-01-12,2020.0,24918,0.0749870072017224,Sat,2757.7,2008.1,1.0059,0.17,False,
2013-01-13,2361.0,28854,0.0756367131186929,Sun,2776.0,2350.8,1.0043,0.12,False,
2013-01-14,3126.0,32842,0.0869105871886121,Mon,2784.7,3164.7,0.9878,-0.34,False,
2013-01-15,3231.0,31331,0.0934841733695966,Tue,2779.4,3157.3,1.0233,0.66,False,
2013-01-16,3147.0,31308,0.0913365259033522,Wed,2773.3,3131.1,1.0051,0.14,False,
2013-01-17,2871.0,27270,0.095252314123619,Thu,2781.3,2924.4,0.9818,-0.51,False,
2013-01-18,2700.0,24490,0.0993012136815005,Fri,2762.1,2703.4,0.9987,-0.04,False,
2013-01-19,1977.0,22415,0.0810511643161692,Sat,2731.4,1989.0,0.994,-0.17,False,
2013-01-20,2417.0,28289,0.0787142577997785,Sun,2696.6,2283.6,1.0584,1.65,False,
2013-01-21,2992.0,30165,0.0902373556111831,Mon,2678.6,3044.0,0.9829,-0.48,False,
2013-01-22,3016.0,29821,0.0918476109266985,Tue,2665.1,3027.5,0.9962,-0.11,False,
2013-01-23,2903.0,27935,0.0941371035735132,Wed,2674.6,3019.6,0.9614,-1.09,False,
2013-01-24,2745.0,27080,0.0920368818105616,Thu,2677.6,2815.3,0.975,-0.7,False,
