no,field,nonnull_all,coverage_all,nonnull_bookings,coverage_bookings,n_unique_all,samples
1,site_name,37670293,1.0,3000693,1.0,45.0,"['2', '30', '37']"
2,posa_continent,37670293,1.0,3000693,1.0,5.0,"['3', '4', '1']"
3,user_location_country,37670293,1.0,3000693,1.0,237.0,"['66', '195', '69']"
4,user_location_region,37670293,1.0,3000693,1.0,1008.0,"['348', '442', '189']"
5,user_location_city,37670293,1.0,3000693,1.0,50447.0,"['48862', '35390', '10067']"
6,orig_destination_distance,24145292,0.640964,1985514,0.661685,,"['2234.26416015625', '913.1931762695312', '913.6259155273438']"
7,user_id,37670293,1.0,3000693,1.0,1198786.0,"['12', '93', '501']"
8,is_mobile,37670293,1.0,3000693,1.0,2.0,"['0', '1']"
9,is_package,37670293,1.0,3000693,1.0,2.0,"['1', '0']"
10,channel,37670293,1.0,3000693,1.0,11.0,"['9', '3', '2']"
11,srch_adults_cnt,37670293,1.0,3000693,1.0,10.0,"['2', '1', '3']"
12,srch_children_cnt,37670293,1.0,3000693,1.0,10.0,"['0', '2', '3']"
13,srch_rm_cnt,37670293,1.0,3000693,1.0,9.0,"['1', '2', '3']"
14,srch_destination_id,37670293,1.0,3000693,1.0,59455.0,"['8250', '14984', '8267']"
15,srch_destination_type_id,37670293,1.0,3000693,1.0,10.0,"['1', '6', '4']"
16,is_booking,37670293,1.0,3000693,1.0,2.0,"['0', '1']"
17,cnt,37670293,1.0,3000693,1.0,104.0,"['3', '1', '2']"
18,hotel_continent,37670293,1.0,3000693,1.0,7.0,"['2', '0', '3']"
19,hotel_country,37670293,1.0,3000693,1.0,213.0,"['50', '185', '151']"
20,hotel_market,37670293,1.0,3000693,1.0,2118.0,"['628', '1457', '675']"
21,hotel_cluster,37670293,1.0,3000693,1.0,100.0,"['1', '80', '21']"
22,date_time,37670293,1.0,3000693,1.0,,"['2014-08-11 07:46:59', '2014-08-11 08:22:12', '2014-08-11 08:24:33']"
23,srch_ci,37623210,0.99875,3000693,1.0,,"['2014-08-27', '2014-08-29', '2014-11-23']"
24,srch_co,37623209,0.99875,3000693,1.0,,"['2014-08-31', '2014-09-02', '2014-11-28']"
